
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000002                       # Number of seconds simulated (Second)
simTicks                                      1716928                       # Number of ticks simulated (Tick)
finalTick                                    88742048                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                      0.54                       # Real time elapsed on the host (Second)
hostTickRate                                  3185407                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    2480556                       # Number of bytes of host memory used (Byte)
simInsts                                         7204                       # Number of instructions simulated (Count)
simOps                                           9256                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    13317                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      17106                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu_cluster.clk_domain.clock               556                       # Clock period in ticks (Tick)
system.cpu_cluster.cpus.numCycles                3088                       # Number of cpu cycles simulated (Cycle)
system.cpu_cluster.cpus.cpi                  0.428651                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu_cluster.cpus.ipc                  2.332902                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu_cluster.cpus.numWorkItemsStarted            0                       # Number of work items this cpu started (Count)
system.cpu_cluster.cpus.numWorkItemsCompleted            0                       # Number of work items this cpu completed (Count)
system.cpu_cluster.cpus.instsAdded               9167                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu_cluster.cpus.nonSpecInstsAdded            1                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu_cluster.cpus.instsIssued              9182                       # Number of instructions issued (Count)
system.cpu_cluster.cpus.squashedInstsExamined            8                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu_cluster.cpus.squashedOperandsExamined           22                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu_cluster.cpus.numIssuedDist::samples         3088                       # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::mean     2.973446                       # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::stdev     1.426055                       # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::underflows            0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::0           20      0.65%      0.65% # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::1           33      1.07%      1.72% # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::2         1966     63.67%     65.38% # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::3           51      1.65%     67.03% # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::4           30      0.97%     68.01% # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::5          984     31.87%     99.87% # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::6            4      0.13%    100.00% # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::7            0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::8            0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::overflows            0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::min_value            0                       # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::max_value            6                       # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::total         3088                       # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.statFuBusy::No_OpClass            0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::IntAlu            9      0.85%      0.85% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::IntMult            0      0.00%      0.85% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::IntDiv            0      0.00%      0.85% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::FloatAdd            0      0.00%      0.85% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::FloatCmp            0      0.00%      0.85% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::FloatCvt            0      0.00%      0.85% # attempts to use FU when none available (Count)
