
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000006                       # Number of seconds simulated (Second)
simTicks                                      5934188                       # Number of ticks simulated (Tick)
finalTick                                    83842576                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                      0.90                       # Real time elapsed on the host (Second)
hostTickRate                                  6576028                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    2480632                       # Number of bytes of host memory used (Byte)
simInsts                                        23705                       # Number of instructions simulated (Count)
simOps                                          26534                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    26216                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      29339                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu_cluster.clk_domain.clock               556                       # Clock period in ticks (Tick)
system.cpu_cluster.cpus.numCycles               10673                       # Number of cpu cycles simulated (Cycle)
system.cpu_cluster.cpus.cpi                  0.450224                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu_cluster.cpus.ipc                  2.221119                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu_cluster.cpus.numWorkItemsStarted            0                       # Number of work items this cpu started (Count)
system.cpu_cluster.cpus.numWorkItemsCompleted            0                       # Number of work items this cpu completed (Count)
system.cpu_cluster.cpus.instsAdded              26550                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu_cluster.cpus.nonSpecInstsAdded            1                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu_cluster.cpus.instsIssued             28076                       # Number of instructions issued (Count)
system.cpu_cluster.cpus.squashedInstsExamined           23                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu_cluster.cpus.squashedOperandsExamined           60                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu_cluster.cpus.numIssuedDist::samples        10673                       # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::mean     2.630563                       # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::stdev     1.173255                       # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::underflows            0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::0          277      2.60%      2.60% # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::1         1416     13.27%     15.86% # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::2         3613     33.85%     49.71% # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::3         2553     23.92%     73.63% # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::4         2298     21.53%     95.17% # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::5          513      4.81%     99.97% # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::6            3      0.03%    100.00% # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::7            0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::8            0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::overflows            0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::min_value            0                       # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::max_value            6                       # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::total        10673                       # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.statFuBusy::No_OpClass            0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::IntAlu         2044     54.59%     54.59% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::IntMult            0      0.00%     54.59% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::IntDiv            0      0.00%     54.59% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::FloatAdd          253      6.76%     61.35% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::FloatCmp            0      0.00%     61.35% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::FloatCvt            6      0.16%     61.51% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::FloatMult          512     13.68%     75.19% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::FloatMultAcc            0      0.00%     75.19% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::FloatDiv            0      0.00%     75.19% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::FloatMisc          254      6.78%     81.97% # attempts to use FU when none available (Count)
